epoch,seconds,lr,train_vx_mse,train_vy_mse,train_avg_mse,val_vx_mse,val_vy_mse,val_avg_mse,best_val_avg_mse
0,306.6600661277771,0.0001,0.09731652587652206,0.1007121205329895,0.09901432693004608,0.05806494131684303,0.05852096527814865,0.05829295516014099,0.05829295516014099
1,261.2241816520691,0.0001,0.04140079766511917,0.041592638939619064,0.04149671643972397,0.05071812868118286,0.04892212152481079,0.049820125102996826,0.049820125102996826
2,260.53492736816406,0.0001,0.03316856920719147,0.03337668627500534,0.033272627741098404,0.04611334204673767,0.04275878518819809,0.04443606361746788,0.04443606361746788
3,261.32818388938904,0.0001,0.029176486656069756,0.029203837737441063,0.02919016219675541,0.039674416184425354,0.03920614346861839,0.03944028168916702,0.03944028168916702
4,263.08279514312744,0.0001,0.02629469893872738,0.026608314365148544,0.026451505720615387,0.0393073670566082,0.041365623474121094,0.040336497128009796,0.03944028168916702
5,266.1578230857849,0.0001,0.024363001808524132,0.02475685626268387,0.024559929966926575,0.039433300495147705,0.036732614040374756,0.03808295726776123,0.03808295726776123
6,258.74443006515503,0.0001,0.02313356101512909,0.023316118866205215,0.023224839940667152,0.04039228707551956,0.037919964641332626,0.039156123995780945,0.03808295726776123
7,256.2276268005371,0.0001,0.02197367325425148,0.021972108632326126,0.021972890943288803,0.03839348256587982,0.0364840142428875,0.03743875026702881,0.03743875026702881
8,257.0137405395508,0.0001,0.021010644733905792,0.0210086852312088,0.021009664982557297,0.040102120488882065,0.03538142517209053,0.0377417728304863,0.03743875026702881
9,254.0221552848816,0.0001,0.02001768909394741,0.020124519243836403,0.020071104168891907,0.036147214472293854,0.0339646115899086,0.03505591303110123,0.03505591303110123
10,256.9548614025116,0.0001,0.019290288910269737,0.019316721707582474,0.01930350437760353,0.03612099587917328,0.03641170263290405,0.036266349256038666,0.03505591303110123
11,254.79404282569885,0.0001,0.01866529881954193,0.018591761589050293,0.018628530204296112,0.03719658404588699,0.03243124857544899,0.03481391817331314,0.03481391817331314
12,251.3237748146057,0.0001,0.018090389668941498,0.018055766820907593,0.018073078244924545,0.03492164984345436,0.032835252583026886,0.03387845307588577,0.03387845307588577
13,250.64202308654785,0.0001,0.017600679770112038,0.017625877633690834,0.017613278701901436,0.03291867673397064,0.03186330199241638,0.03239098936319351,0.03239098936319351
14,253.3521978855133,0.0001,0.017195045948028564,0.017221804708242416,0.01720842532813549,0.035268038511276245,0.03315288946032524,0.03421046584844589,0.03239098936319351
15,239.5337426662445,0.0001,0.016810724511742592,0.016783779487013817,0.016797251999378204,0.034439150243997574,0.03233947232365608,0.03338931128382683,0.03239098936319351
16,250.09462976455688,0.0001,0.016507668420672417,0.016434526070952415,0.016471097245812416,0.03437233716249466,0.03135374188423157,0.03286303952336311,0.03239098936319351
17,249.88153982162476,0.0001,0.01614341512322426,0.01612456515431404,0.01613399013876915,0.034935832023620605,0.03211285546422005,0.03352434188127518,0.03239098936319351
18,249.95561408996582,0.0001,0.015888163819909096,0.015837563201785088,0.01586286351084709,0.033075496554374695,0.030254395678639412,0.03166494518518448,0.03166494518518448
19,249.89081621170044,0.0001,0.01563023217022419,0.01557768601924181,0.015603959560394287,0.033720120787620544,0.03154382109642029,0.032631970942020416,0.03166494518518448
20,250.81706976890564,0.0001,0.015437050722539425,0.015468918718397617,0.015452984720468521,0.03514302521944046,0.032547883689403534,0.033845454454422,0.03166494518518448
21,256.7439489364624,0.0001,0.015088341198861599,0.01516252476722002,0.01512543298304081,0.03433874994516373,0.031088877469301224,0.032713815569877625,0.03166494518518448
22,237.31207633018494,0.0001,0.014906702563166618,0.014864297583699226,0.014885500073432922,0.03300059586763382,0.03178197517991066,0.03239128738641739,0.03166494518518448
23,249.2036166191101,0.0001,0.014798413030803204,0.014769311062991619,0.014783862046897411,0.03434089943766594,0.031398892402648926,0.03286989778280258,0.03166494518518448
24,250.24025750160217,0.0001,0.014618534594774246,0.01467308308929205,0.014645809307694435,0.03220376744866371,0.029661104083061218,0.030932435765862465,0.030932435765862465
25,249.5475559234619,0.0001,0.014268456026911736,0.014472314156591892,0.014370385557413101,0.03368401899933815,0.032741665840148926,0.03321284055709839,0.030932435765862465
