epoch,seconds,lr,train_vx_mse,train_vy_mse,train_avg_mse,val_vx_mse,val_vy_mse,val_avg_mse,best_val_avg_mse
0,283.7803888320923,0.0001,0.10204806178808212,0.10099621117115021,0.10152213275432587,0.07372304052114487,0.06734126061201096,0.07053215056657791,0.07053215056657791
1,300.9718155860901,0.0001,0.043678756803274155,0.04383016377687454,0.0437544584274292,0.05535384267568588,0.053390927612781525,0.054372385144233704,0.054372385144233704
2,305.27049374580383,0.0001,0.033810339868068695,0.03387676924467087,0.03384355455636978,0.047898199409246445,0.044451337307691574,0.04617476835846901,0.04617476835846901
3,304.5925476551056,0.0001,0.028964931145310402,0.029154330492019653,0.029059629887342453,0.04801110923290253,0.04236096516251564,0.045186035335063934,0.045186035335063934
4,298.0064797401428,0.0001,0.026091059669852257,0.026116907596588135,0.02610398456454277,0.04353656247258186,0.040760669857263565,0.042148616164922714,0.042148616164922714
5,300.12651205062866,0.0001,0.0241191778331995,0.024038054049015045,0.0240786150097847,0.04169309511780739,0.03703387454152107,0.03936348482966423,0.03936348482966423
6,302.11958050727844,0.0001,0.022756611928343773,0.02273276261985302,0.022744687274098396,0.04453751817345619,0.039105627685785294,0.04182157292962074,0.03936348482966423
7,306.8441665172577,0.0001,0.02149229310452938,0.021546823903918266,0.021519558504223824,0.03797007352113724,0.03604923188686371,0.03700965270400047,0.03700965270400047
8,299.0084023475647,0.0001,0.020579537376761436,0.02072678506374359,0.02065316215157509,0.03643414005637169,0.036874011158943176,0.03665407747030258,0.03665407747030258
9,297.2749767303467,0.0001,0.01989605464041233,0.0199425145983696,0.01991928368806839,0.03870903700590134,0.03741593658924103,0.03806248679757118,0.03665407747030258
8,264.9470179080963,0.0001,0.0199681855738163,0.019811637699604034,0.019889911636710167,0.03940755873918533,0.034715235233306885,0.03706139698624611,0.03706139698624611
9,266.600368976593,0.0001,0.019261084496974945,0.01933504454791546,0.019298065453767776,0.03709859400987625,0.0338965579867363,0.035497575998306274,0.035497575998306274
10,266.2899520397186,0.0001,0.01881439797580242,0.018805043771862984,0.018809720873832703,0.03672463446855545,0.03623982146382332,0.036482229828834534,0.035497575998306274
11,270.23441314697266,0.0001,0.018360314890742302,0.01835513301193714,0.01835772395133972,0.03784544765949249,0.03326345607638359,0.03555445373058319,0.035497575998306274
12,272.5373957157135,0.0001,0.018023431301116943,0.01788347028195858,0.017953451722860336,0.03381083160638809,0.031964320689439774,0.03288757801055908,0.03288757801055908
13,271.723313331604,0.0001,0.01767621748149395,0.017643844708800316,0.017660031095147133,0.03501463681459427,0.03265296295285225,0.03383380174636841,0.03288757801055908
14,269.73040986061096,0.0001,0.017327724024653435,0.01738378405570984,0.01735575497150421,0.03395555168390274,0.033241573721170425,0.03359856456518173,0.03288757801055908
15,287.94692516326904,0.0001,0.017120642587542534,0.01717061921954155,0.017145629972219467,0.03604092448949814,0.03527572378516197,0.035658322274684906,0.03288757801055908
