epoch,seconds,lr,train_vx_mse,train_vy_mse,train_avg_mse,val_vx_mse,val_vy_mse,val_avg_mse,best_val_avg_mse
0,239.2745840549469,0.0001,0.3032068610191345,0.3026432693004608,0.3029250502586365,0.20053495466709137,0.210569366812706,0.20555216073989868,0.20555216073989868
1,223.36171340942383,0.0001,0.14892563223838806,0.1500110626220703,0.1494683474302292,0.11029824614524841,0.11649461835622787,0.11339643597602844,0.11339643597602844
2,226.52077054977417,0.0001,0.1043718159198761,0.10474677383899689,0.10455929487943649,0.09335312247276306,0.09604068100452423,0.09469690173864365,0.09469690173864365
3,243.49766063690186,0.0001,0.0899735614657402,0.08995275944471359,0.0899631604552269,0.08343639224767685,0.0825953409075737,0.08301586657762527,0.08301586657762527
4,243.57605910301208,0.0001,0.08128134906291962,0.08144436776638031,0.08136285841464996,0.07765325903892517,0.07540682703256607,0.07653003931045532,0.07653003931045532
5,251.20425581932068,0.0001,0.07588817924261093,0.0762820914387703,0.07608513534069061,0.07488028705120087,0.07127212733030319,0.07307620346546173,0.07307620346546173
6,248.7274100780487,0.0001,0.0723041221499443,0.07248730212450027,0.07239571213722229,0.07286632806062698,0.06882000714540482,0.0708431676030159,0.0708431676030159
7,247.10893964767456,0.0001,0.06942767649888992,0.06970851868391037,0.06956809759140015,0.07083503901958466,0.06658703833818436,0.0687110424041748,0.0687110424041748
8,244.68798685073853,0.0001,0.06737063825130463,0.06733747571706772,0.06735405325889587,0.06937232613563538,0.06489282846450806,0.06713257730007172,0.06713257730007172
9,239.7071352005005,0.0001,0.06531000882387161,0.06552302837371826,0.06541651487350464,0.06838395446538925,0.06389009207487106,0.06613702327013016,0.06613702327013016
10,245.18353581428528,0.0001,0.0634845644235611,0.06368954479694366,0.06358705461025238,0.06732452660799026,0.06271282583475113,0.0650186762213707,0.0650186762213707
11,244.17730474472046,0.0001,0.06194440275430679,0.062209758907556534,0.06207708269357681,0.06655049324035645,0.06154235079884529,0.06404642015695572,0.06404642015695572
12,243.9880566596985,0.0001,0.06026541441679001,0.06089447811245918,0.060579948127269745,0.06545636802911758,0.060354866087436676,0.06290561705827713,0.06290561705827713
13,243.13047003746033,0.0001,0.05927590653300285,0.05935123935341835,0.0593135729432106,0.06401029974222183,0.05914415419101715,0.06157722696661949,0.06157722696661949
14,245.1424036026001,0.0001,0.058071669191122055,0.05805428326129913,0.05806297808885574,0.06353343278169632,0.05867695435881615,0.061105191707611084,0.061105191707611084
15,243.58257269859314,0.0001,0.05687885358929634,0.05718981474637985,0.057034336030483246,0.06271971017122269,0.05742231383919716,0.06007101386785507,0.06007101386785507
16,245.94847440719604,0.0001,0.05609283968806267,0.056382596492767334,0.05623771995306015,0.06218256056308746,0.056815922260284424,0.059499241411685944,0.059499241411685944
17,248.11797666549683,0.0001,0.05556834861636162,0.05538749694824219,0.05547792464494705,0.0604860894382,0.05669588968157768,0.05859098955988884,0.05859098955988884
18,247.29992747306824,0.0001,0.05464411526918411,0.054838474839925766,0.05474129319190979,0.0603172592818737,0.055746372789144516,0.05803181603550911,0.05803181603550911
19,247.80867075920105,0.0001,0.05410270392894745,0.054175201803445816,0.05413895100355148,0.06036796048283577,0.055668480694293976,0.05801822245121002,0.05801822245121002
20,246.4411585330963,0.0001,0.05367535352706909,0.05356340482831001,0.0536193773150444,0.059786923229694366,0.054826054722070694,0.05730649083852768,0.05730649083852768
21,248.41236186027527,0.0001,0.05297396332025528,0.053033243864774704,0.05300360172986984,0.05927160009741783,0.0551166757941246,0.05719413608312607,0.05719413608312607
22,246.93310141563416,0.0001,0.05220237746834755,0.05267086252570152,0.052436619997024536,0.058903634548187256,0.05417320132255554,0.0565384179353714,0.0565384179353714
23,245.19938373565674,0.0001,0.05203823000192642,0.052078697830438614,0.05205846577882767,0.057829249650239944,0.05378203094005585,0.05580563843250275,0.05580563843250275
24,244.61291193962097,0.0001,0.05154578015208244,0.05140961334109306,0.05147769674658775,0.05770406126976013,0.05312051251530647,0.05541228502988815,0.05541228502988815
25,243.810364484787,0.0001,0.051173239946365356,0.05119618773460388,0.05118471384048462,0.057253606617450714,0.05315687507390976,0.05520524084568024,0.05520524084568024
26,246.7184796333313,0.0001,0.050468698143959045,0.050848472863435745,0.050658583641052246,0.05719377100467682,0.05253344029188156,0.05486360564827919,0.05486360564827919
27,242.31220030784607,0.0001,0.05021442845463753,0.05032721161842346,0.050270818173885345,0.05670670047402382,0.05244029313325882,0.05457349866628647,0.05457349866628647
