epoch,seconds,lr,train_vx_mse,train_vy_mse,train_avg_mse,val_vx_mse,val_vy_mse,val_avg_mse,best_val_avg_mse
0,244.4241862297058,0.0001,0.11168365925550461,0.10210556536912918,0.1068946123123169,0.06256432831287384,0.06291372328996658,0.06273902952671051,0.06273902952671051
1,248.9704785346985,0.0001,0.043066415935754776,0.0426110178232193,0.04283871501684189,0.048024244606494904,0.05077851191163063,0.049401380121707916,0.049401380121707916
2,255.4908378124237,0.0001,0.03366166725754738,0.033490732312202454,0.03357619792222977,0.04780377820134163,0.04305952414870262,0.045431651175022125,0.045431651175022125
3,229.5661904811859,0.0001,0.02891746535897255,0.02897166833281517,0.02894456684589386,0.040872491896152496,0.04055103287100792,0.04071176052093506,0.04071176052093506
4,254.7837724685669,0.0001,0.026109952479600906,0.025876360014081,0.02599315717816353,0.03926920145750046,0.03901840001344681,0.03914380073547363,0.03914380073547363
5,251.08434796333313,0.0001,0.0240007471293211,0.024022165685892105,0.024011455476284027,0.03875206038355827,0.03442108631134033,0.03658657521009445,0.03658657521009445
6,251.846204996109,0.0001,0.022335689514875412,0.022538285702466965,0.02243698760867119,0.034804996103048325,0.0354778878390789,0.035141441971063614,0.035141441971063614
7,250.49531197547913,0.0001,0.021160034462809563,0.02115928940474987,0.021159661933779716,0.037605881690979004,0.03571176901459694,0.03665882349014282,0.035141441971063614
8,249.980051279068,0.0001,0.020237041637301445,0.020261697471141815,0.020249370485544205,0.03735893592238426,0.03450261056423187,0.03593077510595322,0.035141441971063614
9,246.9826922416687,0.0001,0.019439952448010445,0.019436100497841835,0.01943802647292614,0.03581854701042175,0.033308133482933044,0.0345633402466774,0.0345633402466774
10,253.3519082069397,0.0001,0.01873292215168476,0.018849993124604225,0.018791457638144493,0.03371979296207428,0.03226036950945854,0.03299008309841156,0.03299008309841156
11,251.70842504501343,0.0001,0.018177984282374382,0.018237588927149773,0.018207786604762077,0.03333538770675659,0.031685058027505875,0.032510221004486084,0.032510221004486084
12,247.08502101898193,0.0001,0.017649494111537933,0.017777809873223305,0.017713651061058044,0.034600112587213516,0.03550058975815773,0.03505035117268562,0.032510221004486084
13,250.4079201221466,0.0001,0.017294228076934814,0.017347199842333794,0.01732071489095688,0.03193771839141846,0.031422633677721024,0.03168017417192459,0.03168017417192459
14,223.41027212142944,0.0001,0.01688469760119915,0.016902616247534752,0.01689365692436695,0.0330192856490612,0.033277735114097595,0.03314851224422455,0.03168017417192459
15,225.18244647979736,0.0001,0.016632048413157463,0.016628922894597054,0.01663048565387726,0.03187613561749458,0.032250456511974335,0.03206329792737961,0.03168017417192459
16,254.8870370388031,0.0001,0.016280675306916237,0.01628301478922367,0.016281845048069954,0.03390545770525932,0.0326492115855217,0.03327733278274536,0.03168017417192459
17,247.7758355140686,0.0001,0.015958014875650406,0.015988128259778023,0.01597307249903679,0.03157677873969078,0.030971795320510864,0.03127428889274597,0.03127428889274597
18,250.18605875968933,0.0001,0.015793772414326668,0.015740757808089256,0.015767265111207962,0.03450969234108925,0.031530242413282394,0.03301996737718582,0.03127428889274597
19,250.2785198688507,0.0001,0.015558939427137375,0.01554823573678732,0.015553588047623634,0.032328441739082336,0.030978236347436905,0.03165333718061447,0.03127428889274597
20,245.02330803871155,0.0001,0.015326005406677723,0.015274906530976295,0.015300456434488297,0.03320866823196411,0.030995085835456848,0.03210187703371048,0.03127428889274597
21,260.87926054000854,0.0001,0.01521529071033001,0.015175828710198402,0.015195559710264206,0.03257432579994202,0.03278698772192001,0.032680656760931015,0.03127428889274597
22,259.83469700813293,0.0001,0.014913287945091724,0.014912616461515427,0.014912951737642288,0.035808537155389786,0.030322138220071793,0.03306533768773079,0.03127428889274597
23,260.6977207660675,0.0001,0.014752090908586979,0.014808311127126217,0.014780201017856598,0.03020043857395649,0.030333129689097404,0.030266784131526947,0.030266784131526947
24,261.82751059532166,0.0001,0.014553429558873177,0.014689632691442966,0.014621531590819359,0.032469648867845535,0.03232530504465103,0.03239747881889343,0.030266784131526947
25,260.1752326488495,0.0001,0.0144474096596241,0.014374692924320698,0.014411050826311111,0.03587094321846962,0.03224533051252365,0.034058138728141785,0.030266784131526947
26,262.5004518032074,0.0001,0.014258356764912605,0.014340017922222614,0.014299187809228897,0.03149866312742233,0.02930009551346302,0.030399378389120102,0.030266784131526947
27,261.7214367389679,0.0001,0.014133851043879986,0.014234980568289757,0.014184415340423584,0.032018452882766724,0.03207705169916153,0.03204775229096413,0.030266784131526947
28,262.38190269470215,0.0001,0.013996868394315243,0.01397705264389515,0.013986960053443909,0.029573630541563034,0.029697448015213013,0.029635539278388023,0.029635539278388023
29,261.39376425743103,0.0001,0.014018462970852852,0.013785426504909992,0.01390194520354271,0.031143294647336006,0.029802367091178894,0.030472829937934875,0.029635539278388023
30,261.32670068740845,0.0001,0.013760118745267391,0.013783776201307774,0.013771947473287582,0.03215372934937477,0.028761696070432663,0.030457712709903717,0.029635539278388023
31,260.95427227020264,0.0001,0.013690141029655933,0.013718679547309875,0.013704409822821617,0.032362356781959534,0.028648072853684425,0.030505213886499405,0.029635539278388023
32,261.96338844299316,0.0001,0.013569778762757778,0.013589713722467422,0.013579746708273888,0.03126167878508568,0.029830243438482285,0.03054596111178398,0.029635539278388023
33,262.86156129837036,0.0001,0.013421089388430119,0.013384497724473476,0.013402793556451797,0.03350956737995148,0.03092912770807743,0.03221934661269188,0.029635539278388023
34,260.2491149902344,0.0001,0.01328599639236927,0.013381154276430607,0.013333575800061226,0.03198317810893059,0.02993875928223133,0.030960969626903534,0.029635539278388023
35,261.8088345527649,0.0001,0.013241567648947239,0.013249930925667286,0.013245749287307262,0.03167324140667915,0.029172340407967567,0.030422791838645935,0.029635539278388023
36,261.94005036354065,0.0001,0.013292474672198296,0.013088745065033436,0.013190610334277153,0.03304651007056236,0.031162498518824577,0.032104503363370895,0.029635539278388023
37,262.1474416255951,0.0001,0.012898936867713928,0.01308547705411911,0.01299220696091652,0.03105323202908039,0.02920350432395935,0.030128367245197296,0.029635539278388023
38,261.6836259365082,0.0001,0.01299056876450777,0.013034818693995476,0.01301269419491291,0.03155723586678505,0.029702523723244667,0.030629880726337433,0.029635539278388023
39,262.2433671951294,1e-05,0.012887454591691494,0.012834237888455391,0.012860845774412155,0.031569238752126694,0.02883015386760235,0.030199695378541946,0.029635539278388023
40,261.5466775894165,1e-05,0.010088122449815273,0.010059013962745667,0.010073568671941757,0.02893894724547863,0.02771621011197567,0.02832757867872715,0.02832757867872715
41,260.74159598350525,1e-05,0.009371190331876278,0.009330631233751774,0.009350910782814026,0.02951849065721035,0.027761250734329224,0.02863987162709236,0.02832757867872715
42,260.21299171447754,1e-05,0.009090886451303959,0.008996154181659222,0.00904352031648159,0.02875174582004547,0.027634605765342712,0.028193175792694092,0.028193175792694092
43,261.7105505466461,1e-05,0.008842701092362404,0.008826888166368008,0.008834794163703918,0.029764216393232346,0.027360688894987106,0.028562452644109726,0.028193175792694092
44,259.8098087310791,1e-05,0.008726293221116066,0.008649354800581932,0.008687824010848999,0.029047325253486633,0.02711215429008007,0.028079740703105927,0.028079740703105927
45,260.66644740104675,1e-05,0.008516118861734867,0.00858486257493496,0.0085504911839962,0.029541494324803352,0.027646759524941444,0.0285941269248724,0.028079740703105927
46,258.5717887878418,1e-05,0.008457161486148834,0.008402484469115734,0.008429823443293571,0.028900638222694397,0.02794683538377285,0.028423737734556198,0.028079740703105927
47,254.19282937049866,1e-05,0.00830136053264141,0.008304854854941368,0.00830310769379139,0.029072998091578484,0.02842235006392002,0.028747674077749252,0.028079740703105927
48,261.7694091796875,1e-05,0.008252467028796673,0.00819772481918335,0.008225096389651299,0.029292209073901176,0.02800915017724037,0.0286506786942482,0.028079740703105927
49,261.69493865966797,1e-05,0.008149889297783375,0.008097431622445583,0.008123660460114479,0.02955547161400318,0.027811050415039062,0.028683260083198547,0.028079740703105927
